===== Simulator configuration =====
BLOCKSIZE:             128
L1_SIZE:               32768
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               524288
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	2001b D	  2002b D	  2002a D	  20018 D	  
Set	243:	4004  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	244:	4003  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	245:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	246:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	247:	4003 D	  df  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	248:	df  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	249:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	250:	df  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	251:	df  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	252:	df  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	253:	4004  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	254:	4004  	  4003  	  df  	  0  	  0  	  0  	  0  	  0  	  
Set	255:	4004  	  4003 D	  df  	  0  	  0  	  0  	  0  	  0  	  
Set	256:	df  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	257:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	258:	df  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	259:	0  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
