===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               2048
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               131072
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	189:	1000d D	  10014 D	  10015 D	  1000c D	  1000f D	  108d5  	  0  	  0  	  
Set	190:	10014 D	  10015 D	  1000c D	  1000f D	  0  	  0  	  0  	  0  	  
Set	191:	10014 D	  10015 D	  1000c D	  1000f D	  0  	  0  	  0  	  0  	  
Set	192:	10014 D	  10015 D	  1000c D	  1000f D	  0  	  0  	  0  	  0  	  
Set	193:	10014 D	  10015 D	  1000c D	  1000f D	  0  	  0  	  0  	  0  	  
Set	194:	10014 D	  1000c D	  10015 D	  1000f D	  0  	  0  	  0  	  0  	  
Set	195:	1000d  	  10014 D	  10015 D	  1000f D	  108d5  	  0  	  0  	  0  	  
Set	196:	10014 D	  1000d D	  10015 D	  1000f D	  108d5 D	  0  	  0  	  0  	  
Set	197:	10014 D	  10015 D	  1000f D	  108d5  	  0  	  0  	  0  	  0  	  
Set	198:	1000d D	  10014 D	  10015 D	  1000f D	  108d5  	  0  	  0  	  0  	  
Set	199:	1000d  	  10014 D	  10015 D	  1000f D	  0  	  0  	  0  	  0  	  
Set	200:	10014 D	  10015 D	  1000f D	  108d5  	  0  	  0  	  0  	  0  	  
Set	201:	10014 D	  10015 D	  1000f D	  108d5  	  0  	  0  	  0  	  0  	  
Set	202:	10014 D	  10015 D	  1000f D	  108d5  	  0  	  0  	  0  	  0  	  
Set	203:	10014 D	  10015 D	  1000f D	  1004e D	  108d5  	  0  	  0  	  0  	  
Set	204:	10014 D	  10015 D	  1000f D	  0  	  0  	  0  	  0  	  0  	  
Set	205:	10014  	  10015 D	  1000f D	  0  	  0  	  0  	  0  	  0  	  
Set	206:	10014 D	  10015 D	  1000f D	  1000d  	  108d5  	  0  	  0  	  0  	  
Set	207:	10014  	  10015 D	  1000f D	  108d5  	  0  	  0  	  0  	  0  	  
Set	208:	10014  	  10015 D	  1000f D	  0  	  0  	  0  	  0  	  0  	  
Set	209:	10014  	  10015 D	  1000f D	  0  	  0  	  0  	  0  	  0  	  
Set	210:	10014 D	  10015 D	  1000f D	  1004e  	  0  	  0  	  0  	  0  	  
Set	211:	10014  	  10015 D	  1000f D	  0  	  0  	  0  	  0  	  0  	  
Set	212:	10014 D	  1000d D	  10015 D	  1000f D	  1004e  	  0  	  0  	  0  	  
Set	213:	10014 D	  1000d D	  10015 D	  1000f D	  0  	  0  	  0  	  0  	  
Set	214:	1000d D	  10014  	  10015 D	  1000f D	  0  	  0  	  0  	  0  	  
Set	215:	10014 D	  10015 D	  1000f D	  10008 D	  108eb  	  0  	  0  	  0  	  
Set	216:	10014 D	  10015 D	  1000f D	  37e  	  0  	  0  	  0  	  0  	  
Set	217:	10014 D	  10015 D	  1000f D	  0  	  0  	  0  	  0  	  0  	  
Set	218:	10014 D	  10015 D	  1000f D	  0  	  0  	  0  	  0  	  0  	  
Set	219:	10014 D	  1000c D	  10015 D	  1000f D	  0  	  0  	  0  	  0  	  
Set	220:	10014 D	  1000c D	  1000d D	  10015 D	  1000f D	  0  	  0  	  0  	  
Set	221:	10014  	  1000c  	  10015 D	  1000f D	  10008  	  1004e  	  0  	  0  	  
Set	222:	10014  	  1000c  	  1000d D	  10015 D	  1000f D	  10008  	  0  	  0  	  
Set	223:	10014 D	  1000c  	  1000d D	  10015 D	  1000f D	  10008  	  0  	  0  	  
Set	224:	10014  	  10015 D	  1000f D	  10008  	  0  	  0  	  0  	  0  	  
Set	225:	10014 D	  10015 D	  1000d D	  1000f D	  10008  	  0  	  0  	  0  	  
Set	226:	10014 D	  10015 D	  1000f D	  0  	  0  	  0  	  0  	  0  	  
Set	227:	10014  	  10015 D	  1000f D	  0  	  0  	  0  	  0  	  0  	  
Set	228:	10014 D	  10015 D	  1000f D	  0  	  0  	  0  	  0  	  0  	  
Set	229:	10014 D	  10015 D	  1000f D	  1004e  	  0  	  0  	  0  	  0  	  
Set	230:	10015 D	  1000f D	  37e  	  0  	  0  	  0  	  0  	  0  	  
Set	231:	10015 D	  1000f D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	232:	10015 D	  1000f D	  10014 D	  0  	  0  	  0  	  0  	  0  	  
Set	233:	10015 D	  1000f D	  10014 D	  0  	  0  	  0  	  0  	  0  	  
Set	234:	1000d D	  10015 D	  1000f D	  10014 D	  10008  	  10013  	  0  	  0  	  
Set	235:	10015 D	  1000f D	  10014 D	  10013  	  0  	  0  	  0  	  0  	  
Set	236:	10015 D	  1000f D	  10014 D	  37e  	  0  	  0  	  0  	  0  	  
Set	237:	10015 D	  1000f D	  10014 D	  1004e  	  0  	  0  	  0  	  0  	  
Set	238:	10015 D	  1000f D	  10014 D	  1004e D	  0  	  0  	  0  	  0  	  
Set	239:	10015 D	  1000f D	  10014 D	  108d4  	  0  	  0  	  0  	  0  	  
Set	240:	1000e  	  10015 D	  1000f D	  10014 D	  10013  	  108d4  	  0  	  0  	  
Set	241:	10015 D	  1000f D	  10014 D	  108d4  	  0  	  0  	  0  	  0  	  
Set	242:	10015 D	  1000f D	  108d4  	  0  	  0  	  0  	  0  	  0  	  
Set	243:	10015 D	  1000f D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	244:	10015 D	  1000c D	  1000f D	  0  	  0  	  0  	  0  	  0  	  
Set	245:	1000c D	  10015 D	  1000f D	  10013  	  0  	  0  	  0  	  0  	  
Set	246:	10015 D	  1000e D	  1000f D	  10013  	  0  	  0  	  0  	  0  	  
Set	247:	1000d D	  10015 D	  1000f D	  0  	  0  	  0  	  0  	  0  	  
Set	248:	10015 D	  1000f D	  37e  	  0  	  0  	  0  	  0  	  0  	  
Set	249:	10015 D	  1000f D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	250:	1000c D	  10015 D	  1000f D	  0  	  0  	  0  	  0  	  0  	  
