===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               16384
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               262144
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	138:	8006 D	  800a D	  846b  	  0  	  0  	  0  	  0  	  0  	  
Set	139:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	140:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	141:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	142:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	143:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	144:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	145:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	146:	8005  	  8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  
Set	147:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	148:	8005  	  8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  
Set	149:	8000  	  8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  
Set	150:	8000  	  800a D	  8006 D	  0  	  0  	  0  	  0  	  0  	  
Set	151:	8000  	  8005  	  800a  	  8006 D	  0  	  0  	  0  	  0  	  
Set	152:	8000  	  800a D	  8005  	  8006 D	  0  	  0  	  0  	  0  	  
Set	153:	8000  	  800a D	  8006 D	  0  	  0  	  0  	  0  	  0  	  
Set	154:	8000  	  800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  
Set	155:	8000  	  800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  
Set	156:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	157:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	158:	800a  	  8007 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	159:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	160:	8006  	  800a  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	161:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	162:	8006  	  800a  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	163:	8006  	  800a  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	164:	800a  	  8007 D	  8006  	  0  	  0  	  0  	  0  	  0  	  
Set	165:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	166:	8006  	  800a  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	167:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	168:	800a  	  1bf  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	169:	800a D	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	170:	800a D	  8027 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	171:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	172:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	173:	800a  	  8000  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	174:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	175:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	176:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	177:	800a  	  8027  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	178:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	179:	800a  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	180:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	181:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	182:	800a  	  8006 D	  0  	  0  	  0  	  0  	  0  	  0  	  
